id,name,number,longitude,latitude
129,Santa María de la Cabeza,121,-3.6987665,40.4017926
130,Santa Engracia 14,122,-3.6967169,40.4291992
131,Guzmán el Bueno,123,-3.7133412,40.4306458
169,Manuel Silvela,124,-3.6993465,40.4309524
164,General Martínez Campos ,125,-3.6948626,40.4352850
163,General Álvarez de Castro,126,-3.7015686,40.4344731
168,Fernando el Católico,127,-3.7084390,40.4338516
160,Cea Bermúdez,128,-3.7154329,40.4389940
161,José Abascal,129,-3.6982353,40.4383865
157,Santa Engracia 127,130,-3.70164,40.44156
156,Bravo Murillo 44,131,-3.7040344,40.4418402
149,Glorieta de los Cuatro Caminos,132,-3.7036675,40.4463667
150,Raimundo Fernández,133,-3.7001669,40.4471250
153,Agustín de Betancourt,134,-3.6956047,40.4440297
158,Plaza de San Juan de la Cruz,135,-3.6927821,40.4415974
151,Castellana 106,136,-3.6908610,40.4453307
152,Plaza de la República Argentina,137,-3.6853312,40.4454110
154,Paseo de la Castellana con Raimundo Fernández,138,-3.6917932,40.4457414
159,José Gutiérrez Abascal ,139,-3.6907784,40.4396792
162,Velázquez 130,140,-3.6831578,40.4385127
165,Paseo de la Castellana - Glorieta de Emilio Castelar,141,-3.6892368,40.4355143
167,Castellana 42,142,-3.6879154,40.4334087
166,Diego de León 52,143,-3.6784920,40.4345973
170,Juan Bravo 50,144,-3.6758555,40.4323655
171,Ortega y Gasset 87,145,-3.6712823,40.4298870
155,María Francisca 1,146,-3.6787169,40.4442258
148,Doctor Arce 45,147,-3.6797296,40.4483269
144,Serrano 210,148,-3.6817962,40.4510188
146,Paseo de la Habana 42,149,-3.6881689,40.4498613
147,Castellana frente a Hermanos Pinzón,150,-3.6905604,40.4488924
145,Orense 12,151,-3.6952943,40.4489101
142,General Perón 1,152,-3.6990077,40.4527164
143,General Perón con Poeta Joan Maragall,153,-3.693085,40.4522454
141,Orense 36,154,-3.6946218,40.4548456
139,San Germán 57,155,-3.7009675,40.4572824
140,Sor Ángela de la Cruz,156,-3.6915330,40.4592351
137,Castellana 164,157,-3.6894151,40.4591366
138,Alberto Alcocer,158,-3.6847150,40.4585318
173,Paseo de la Habana 63,159,-3.6835926,40.4543852
172,Colombia,160,-3.6763439,40.4572466
132,Paseo de la Florida,161,-3.7224983,40.4219665
133,Metro Pirámides,162,-3.7108108,40.4034076
134,Paseo de la Esperanza,163,-3.7064516,40.4035988
136,Paseo de las Delicias,164,-3.6945025,40.3972616
135,Entrada Matadero,165,-3.6975708,40.3928821
174,Segovia 26,166,-3.7135833,40.4138333
175,Segovia 45,167,-3.717487,40.413736
176,Batalla del Salado,168,-3.6959166,40.4044722
177,Pirámides,169,-3.7138055,40.4016111
178,Paseo de la Esperanza,170,-3.7043611,40.401
179,Embajadores-Cáceres,171,-3.6983888,40.39975
180,Delicias,172,-3.6935833,40.4008888
181,Puente Praga,173,-3.7023918,40.3981798
182,Madrid Río-Yeserías,174,-3.7065277,40.3974444
183,Jaime el Conquistador,175,-3.6983055,40.3962222
184,Beata,176,-3.6937222,40.39425
185,Legazpi,177,-3.6941944,40.3914722
186,Junta Municipal Retiro,178,-3.6788343,40.4029202
187,Puente de Vallecas,179,-3.66925,40.3979722
188,Méndez Álvaro,180,-3.6758888,40.3941388
189,Retiro-Ibiza,181,-3.6766111,40.41825
190,Parque Roma,182,-3.6657777,40.4186666
191,Doctor Esquerdo-Hermosilla,183,-3.669339,40.425635
192,Marqués de Zafra,184,-3.6653055,40.426
193,Quinta Fuente del Berro,185,-3.6615277,40.4250833
194,General Pardiñas,186,-3.6782777,40.4290555
195,Alcalá-Ventas,187,-3.6638888,40.4301666
196,Puente de Ventas,188,-3.6590555,40.4311944
197,Avenida Donostiarra,189,-3.6554918,40.4351256
198,Velázquez-Diego de León,190,-3.6835833,40.4343333
199,Diego de león,191,-3.674,40.4346388
200,Avenida de los Toreros,192,-3.6714166,40.4318611
201,Ventas,193,-3.6655555,40.4324722
202,Avenida de América 2,194,-3.6772222,40.43725
203,Avenida de América 1,195,-3.6754444,40.4392222
204,Prosperidad,196,-3.6751388,40.4441388
205,Parque Berlín,197,-3.6780555,40.4515833
206,Rubén Darío,198,-3.6915555,40.4331111
207,Fernando el Católico,199,-3.7149166,40.4343611
208,Quevedo,200,-3.7046666,40.4336944
